Date,DAS,Rainfall.daily,SWC.A1,SWC.A2,SWC.A3,SWC.B1,SWC.B2,SWC.B3,SWC.C1,SWC.C2,SWC.C3
9/1/2020,-,0,-,-,-,-,-,-,-,-,-
9/2/2020,-,0,-,-,-,-,-,-,-,-,-
9/3/2020,-,0,-,-,-,-,-,-,-,-,-
9/4/2020,-,0,-,-,-,-,-,-,-,-,-
9/5/2020,-,0,-,-,-,-,-,-,-,-,-
9/6/2020,-,0,-,-,-,-,-,-,-,-,-
9/7/2020,-,0,-,-,-,-,-,-,-,-,-
9/8/2020,-,0,-,-,-,-,-,-,-,-,-
9/9/2020,-,0,-,-,-,-,-,-,-,-,-
9/10/2020,-,0,-,-,-,-,-,-,-,-,-
9/11/2020,-,0,-,-,-,-,-,-,-,-,-
9/12/2020,-,0,-,-,-,-,-,-,-,-,-
9/13/2020,-,0,-,-,-,-,-,-,-,-,-
9/14/2020,-,0,-,-,-,-,-,-,-,-,-
9/15/2020,-,0,-,-,-,-,-,-,-,-,-
9/16/2020,-,0,-,-,-,-,-,-,-,-,-
9/17/2020,-,0,-,-,-,-,-,-,-,-,-
9/18/2020,-,0,-,-,-,-,-,-,-,-,-
9/19/2020,-,9,-,-,-,-,-,-,-,-,-
9/20/2020,-,6.6,-,-,-,-,-,-,-,-,-
9/21/2020,-,0,-,-,-,-,-,-,-,-,-
9/22/2020,-,0,-,-,-,-,-,-,-,-,-
9/23/2020,-,0,-,-,-,-,-,-,-,-,-
9/24/2020,-,0,-,-,-,-,-,-,-,-,-
9/25/2020,-,0,-,-,-,-,-,-,-,-,-
9/26/2020,-,0,-,-,-,-,-,-,-,-,-
9/27/2020,-,0,-,-,-,-,-,-,-,-,-
9/28/2020,-,0,-,-,-,-,-,-,-,-,-
9/29/2020,-,0,-,-,-,-,-,-,-,-,-
9/30/2020,-,0,-,-,-,-,-,-,-,-,-
10/1/2020,-,0,-,-,-,-,-,-,-,-,-
10/2/2020,-,0,-,-,-,-,-,-,-,-,-
10/3/2020,-,2,-,-,-,-,-,-,-,-,-
10/4/2020,-,0,-,-,-,-,-,-,-,-,-
10/5/2020,-,0,-,-,-,-,-,-,-,-,-
10/6/2020,-,0,-,-,-,-,-,-,-,-,-
10/7/2020,-,0,-,-,-,-,-,-,-,-,-
10/8/2020,-,0,-,-,-,-,-,-,-,-,-
10/9/2020,-,0,-,-,-,-,-,-,-,-,-
10/10/2020,-,0,-,-,-,-,-,-,-,-,-
10/11/2020,-,0,-,-,-,-,-,-,-,-,-
10/12/2020,-,0,-,-,-,-,-,-,-,-,-
10/13/2020,-,0,-,-,-,-,-,-,-,-,-
10/14/2020,-,0,-,-,-,-,-,-,-,-,-
10/15/2020,-,0,-,-,-,-,-,-,-,-,-
10/16/2020,-,0,-,-,-,-,-,-,-,-,-
10/17/2020,-,0,-,-,-,-,-,-,-,-,-
10/18/2020,-,0,-,-,-,-,-,-,-,-,-
10/19/2020,-,0,-,-,-,-,-,-,-,-,-
10/20/2020,-,0,-,-,-,-,-,-,-,-,-
10/21/2020,-,11.4,-,-,-,-,-,-,-,-,-
10/22/2020,-,6,-,-,-,-,-,-,-,-,-
10/23/2020,-,21.4,-,-,-,-,-,-,-,-,-
10/24/2020,-,0.2,-,-,-,-,-,-,-,-,-
10/25/2020,-,0.2,-,-,-,-,-,-,-,-,-
10/26/2020,-,4.6,-,-,-,-,-,-,-,-,-
10/27/2020,-,0.8,-,-,-,-,-,-,-,-,-
10/28/2020,-,0,-,-,-,-,-,-,-,-,-
10/29/2020,-,0,-,-,-,-,-,-,-,-,-
10/30/2020,-,0,-,-,-,-,-,-,-,-,-
10/31/2020,-,0,-,-,-,-,-,-,-,-,-
11/1/2020,-,0,-,-,-,-,-,-,-,-,-
11/2/2020,-,0,-,-,-,-,-,-,-,-,-
11/3/2020,-,0,-,-,-,-,-,-,-,-,-
11/4/2020,-,0,-,-,-,-,-,-,-,-,-
11/5/2020,-,0.4,-,-,-,-,-,-,-,-,-
11/6/2020,-,26.2,-,-,-,-,-,-,-,-,-
11/7/2020,-,3,-,-,-,-,-,-,-,-,-
11/8/2020,-,8.8,-,-,-,-,-,-,-,-,-
11/9/2020,-,0,-,-,-,-,-,-,-,-,-
11/10/2020,-,0,-,-,-,-,-,-,-,-,-
11/11/2020,-,0.2,-,-,-,-,-,-,-,-,-
11/12/2020,-,0,-,-,-,-,-,-,-,-,-
11/13/2020,-,0,-,-,-,-,-,-,-,-,-
11/14/2020,-,0,-,-,-,-,-,-,-,-,-
11/15/2020,-,6,-,-,-,-,-,-,-,-,-
11/16/2020,-,0.2,-,-,-,-,-,-,-,-,-
11/17/2020,-,0,-,-,-,-,-,-,-,-,-
11/18/2020,0,0,-,-,-,-,-,-,-,-,-
11/19/2020,1,0,-,-,-,-,-,-,-,-,-
11/20/2020,2,0,-,-,-,-,-,-,-,-,-
11/21/2020,3,0,-,-,-,-,-,-,-,-,-
11/22/2020,4,0,-,-,-,-,-,-,-,-,-
11/23/2020,5,0,-,-,-,-,-,-,-,-,-
11/24/2020,6,0,286.2856414,322.9966491,-,-,341.4254835,334.1961571,312.0467208,351.5961218,-
11/25/2020,7,0,288.8968388,320.7136294,-,-,347.0471418,333.0446357,322.969375,355.4836236,-
11/26/2020,8,17.2,318.9140656,332.5402896,-,-,369.7983461,348.1843731,349.3560553,365.2742489,-
11/27/2020,9,32.2,304.2999011,334.5559105,-,-,368.2393302,351.8804974,344.9862863,365.3691325,-
11/28/2020,10,14.8,299.9703151,333.906027,-,-,367.254626,349.8829506,336.4780804,363.1194497,-
11/29/2020,11,0,299.2645654,333.4060424,-,-,366.8437214,349.1371791,335.8286405,356.0191025,-
11/30/2020,12,1.2,298.660138,332.4326915,-,-,366.0406379,348.3310595,334.7498927,354.0937829,-
12/1/2020,13,0,298.1413757,331.3986571,354.0120659,343.9967016,357.2863956,347.5908806,334.0293129,354.8925794,338.8407856
12/2/2020,14,0,297.7440648,330.6061441,354.4351533,343.6319892,335.1327447,346.9270717,333.531824,361.7535922,338.830153
12/3/2020,15,0,296.823373,328.4592046,351.2821162,342.5910969,335.6955991,338.6767691,325.529161,350.947631,331.1014532
12/4/2020,16,0,296.9626331,329.6778019,353.1929475,343.1218278,363.3688246,345.6087369,333.6861443,361.8747922,339.4275546
12/5/2020,17,3.4,296.8735537,329.7906052,352.3464729,342.7804011,363.0949545,344.9652731,333.1419725,359.4304,338.7119401
12/6/2020,18,0,295.9634214,326.959219,349.3672375,341.7787199,362.2340483,343.9524745,331.8352348,359.7106666,337.850826
12/7/2020,19,0,296.2358609,328.3160054,351.5647604,342.1009453,362.3796962,344.0128982,332.479184,361.0717703,338.257735
12/8/2020,20,2.6,297.4432042,330.10471,353.7500058,344.0937312,363.8766423,344.9394268,334.1973856,362.3635451,341.315395
12/9/2020,21,4.8,297.859581,329.8419475,352.6605571,343.5164667,363.9095036,344.6797022,333.3055697,361.8860619,339.4529954
12/10/2020,22,0.4,298.2335016,331.0468802,355.2894727,344.2889578,364.3230406,345.0552195,334.1515242,362.8598916,340.394671
12/11/2020,23,3.2,298.3412295,331.0024482,355.3420101,344.7451125,364.9000893,345.5438542,333.9694134,362.3653008,340.1443197
12/12/2020,24,0,297.9512552,329.7439041,353.5723615,344.7473535,364.6064716,345.2827837,321.2790385,361.5446017,339.6578473
12/13/2020,25,0.4,297.6415492,328.4244426,351.7930737,344.3172776,364.1522074,344.7294691,332.6981774,361.0252258,339.2088517
12/14/2020,26,0,297.6558753,328.279049,352.1520359,344.1815982,363.8818642,344.4571918,332.916066,361.8468558,339.2343229
12/15/2020,27,1.6,298.513818,331.0118799,355.5266404,345.3355178,364.8199108,345.047606,331.1799075,362.1217838,340.5282394
12/16/2020,28,2,298.5557703,330.9662031,355.1634496,345.1790416,364.60701,344.6217601,333.9342324,362.6442963,340.4456696
12/17/2020,29,3,299.187985,331.9742976,356.7745326,345.7346981,357.8525594,338.0847403,320.4802744,355.209977,333.6501793
12/18/2020,30,0.2,299.1823146,331.7083967,356.1174334,345.4402392,365.1140323,344.8076355,334.044305,362.3875126,340.5011575
12/19/2020,31,0,300.1355734,332.777469,357.3855814,347.5708315,366.2388449,345.7439277,336.4228517,364.1524111,345.0226485
12/20/2020,32,6.8,301.6310537,333.7497686,358.0842591,348.5064068,368.3099555,347.2942774,323.1685421,363.6140832,345.0576219
12/21/2020,33,3.2,300.7218614,332.6665185,356.2845104,346.8464858,367.4822231,346.0495356,335.5992427,362.9691972,341.6986373
12/22/2020,34,0,300.5226999,331.6877937,354.9110845,346.5135092,367.072876,345.4394423,334.9387812,362.3672356,341.2204436
12/23/2020,35,0,300.4179193,330.9035524,354.3342706,346.2324342,366.6736692,345.032589,334.5373204,362.1274703,340.8227763
12/24/2020,36,0,300.3740812,330.1595192,354.059523,346.378055,366.5659396,344.7891508,324.430285,361.7816998,340.5998579
12/25/2020,37,0,300.1191706,329.0642192,353.0891675,345.9779824,366.1810454,344.2361889,333.5543817,357.9477566,340.2121712
12/26/2020,38,0,299.2259078,326.1515646,349.6515271,344.4368307,365.0983182,343.1572611,331.4331198,356.4500529,338.9241985
12/27/2020,39,0,298.5949512,324.5848517,348.0644705,343.184782,364.1027366,342.3467964,330.6683677,354.9130854,338.4334843
12/28/2020,40,0,298.7742501,326.1475145,350.5591981,343.0815624,364.1693092,342.3015187,331.8670353,356.2872007,339.1463426
12/29/2020,41,0.8,298.7222856,326.305883,351.0954203,343.035499,364.11798,341.8602038,331.818603,348.7902982,339.3013279
12/30/2020,42,0,298.3084806,325.0860838,349.4137845,342.2735955,363.623424,341.2933809,331.2174193,347.7575523,338.9524808
12/31/2020,43,0,297.9214286,324.2443805,348.235785,341.4425696,363.1362687,340.7169809,330.7193804,340.3942704,338.5757263
1/1/2021,44,0,298.0728711,325.3778476,350.1977795,341.6272587,363.3492789,340.96287,331.5360921,329.705583,339.1588664
1/2/2021,45,1,297.7018939,324.7159604,349.3141162,341.138007,363.0125191,340.4252056,331.4333438,356.6581761,339.0638334
1/3/2021,46,0,297.1776057,323.3298172,347.062779,340.2269532,362.3885051,339.7911661,330.4887655,349.8040156,338.4130288
1/4/2021,47,0,296.7725962,322.4661437,345.6702771,339.4679215,361.8129041,339.2963007,329.947351,347.2637842,337.9707895
1/5/2021,48,0,296.4779966,321.7787825,344.6950204,339.0405365,354.1052192,332.6341582,322.6620712,346.1802026,330.7576811
1/6/2021,49,0,295.8879901,320.4173816,342.8835399,337.5726407,360.8722064,338.6324503,328.8326453,353.7726694,337.193994
1/7/2021,50,0.4,298.9437053,329.2380252,354.2758186,343.1692035,364.3245826,341.7980126,334.6688873,361.147655,340.2280999
1/8/2021,51,13.6,308.2914833,334.7120172,359.8987124,350.0521502,370.460563,349.0376607,345.0503139,363.6156425,347.8903076
1/9/2021,52,24.2,312.4344073,333.455413,361.9266187,348.0384563,371.8071673,354.5928296,341.6163051,362.6178054,345.670066
1/10/2021,53,3.4,308.9089961,332.3693002,361.5643977,346.7658987,371.6882374,353.7666709,337.4241007,361.9741522,343.8292745
1/11/2021,54,0,308.1784337,331.5920463,361.1654845,346.2064165,371.3048044,352.836707,334.2146446,361.2473503,342.4215064
1/12/2021,55,0,307.647631,330.5475487,360.3154228,345.5227197,371.4176554,352.1228631,335.3499889,360.4636441,341.6814704
1/13/2021,56,0,307.1111465,329.3021662,359.1854457,344.9011712,370.8845596,351.4133268,325.5912121,359.6642631,341.1088621
1/14/2021,57,0,306.7020767,328.4640427,358.2949073,344.4240042,370.5228025,350.9190467,324.4592764,359.2214997,340.7531737
1/15/2021,58,0,306.3287458,327.6507885,357.3330959,343.9595561,370.1753525,350.4174424,326.5408709,358.7766787,340.4557087
1/16/2021,59,0,305.8873881,326.4957525,355.9801887,343.4071724,369.7254189,349.9040968,318.7043469,358.060823,340.1631003
1/17/2021,60,0,305.3078028,324.925481,353.9258792,342.3850778,369.1708873,349.1909325,323.9497327,357.0769938,339.7111493
1/18/2021,61,0,304.7125377,323.2835274,351.9671928,341.0355668,368.3776875,348.3109131,323.2078764,356.0782549,339.3077258
1/19/2021,62,0,304.1236519,321.9817376,350.3154612,339.6021701,367.389349,347.5101641,322.9391704,355.3320674,338.8975475
1/20/2021,63,0,305.3060656,326.3292892,356.2622019,342.3543305,369.142506,349.3579344,335.7714776,360.2307017,340.6966194
1/21/2021,64,13.2,307.388199,330.797929,361.4110894,346.2502339,372.1429308,351.947799,335.7145405,360.9617437,342.0818609
1/22/2021,65,1,307.6388505,331.3140719,361.5899716,347.4012086,372.6299004,352.3507497,335.237944,360.7612228,342.4040194
1/23/2021,66,2.2,307.6683345,331.3429213,361.3408919,347.3070051,372.5729558,351.9471137,328.6996824,360.8499963,342.2486164
1/24/2021,67,0.6,308.0342934,331.8429424,362.7481654,348.2824965,373.4110742,352.603595,335.4235893,360.98722,342.5740178
1/25/2021,68,1.2,308.2033671,331.7566748,363.015942,348.280623,373.3364146,352.4309238,335.4248097,360.9302298,342.5726834
1/26/2021,69,0.8,308.3069055,331.656006,363.2163046,348.5576255,373.3794768,352.5276966,320.3422644,360.9271662,342.5611311
1/27/2021,70,0,308.525986,331.5959175,363.3501358,348.896871,373.4719566,352.5853716,335.1975048,360.8521217,342.5076545
1/28/2021,71,0,308.654338,331.5974621,363.0960119,348.7778175,373.3822873,352.2646618,335.5987524,360.688499,342.4531161
